evt_block_time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmountArrange,interestRate,auctionDuration,tokenId
2023-05-07 13:46:59.000 UTC,0x9c61c0c412a594aaba1bd911f9a0c8ddf9d3e0ee8b93f68a522266726e1fc232,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,12.97,0,9000,9378
2023-05-07 13:49:35.000 UTC,0x269518380166b3cb18b79cee3e716f5343d7e2a75ff10da3227caa10f846b7ef,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xac9f48825c51f16125d03583376fb170e94e0a79,12.97,0,9000,9725
2023-05-07 13:50:11.000 UTC,0x9b42ddc1152714a7ac6a57c28c37158cc8b9955b2bd01f81b78975673d8650c0,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xf9f02def55e1cceedf017e0353c14ba6f7f4d3df,12.97,0,9000,1209
2023-05-07 13:49:59.000 UTC,0x552efe8e5d24593c5177d7205d95f1a27b45b8f5dced1da879b89749b3acb760,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,12.97,0,9000,9792
2023-05-07 13:51:35.000 UTC,0x4d2447aefd0d6e4c7ac390e96c08238442b2f783ccd3b1e1efc97a068a459b2b,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x2e5d7c98534ceaa74c032f787c417c147c194b47,0xa8be3aa2cfe1715c1069856dd95ed4bf3f0c8230,12.97,0,9000,4544
2023-05-07 13:51:11.000 UTC,0x414da3b6845086840079dd59bc22386fbb6fe8c5af2e40b19d3759c51edf75ac,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x20251a0505ead51fb2c6ce5c1f399924ea068322,12.97,0,9000,6513
2023-05-07 13:52:11.000 UTC,0x0f2474c6f41ed070dd65917014f3a559825f7576f2135d94b386b2ccf248a9ef,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xb2b58d8d7dc287c5f30a54fe0a4643cf789198ed,12.97,0,9000,9792
2023-05-07 13:53:23.000 UTC,0x3ab94060d7a96343a0cab420285ecb57093bb775c706658cd9afb6452a9e0aeb,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x7586834e655ee2de6357b2c8423b76efc5fbcc6b,12.75,0,9000,7149
2023-05-07 13:53:35.000 UTC,0xafae017661371c5ae786fabdc0f4b9a6208b3beab9572bca93d3df481d716aa4,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x4d08a1ec94ca749be19a9209541ad4590375421d,12.75,0,9000,9974
2023-05-07 13:53:35.000 UTC,0x050e3d1509e08032060c9e79425be4881584e652d1fb5325c404c38d32f34f71,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,12.77,0,9000,9244
2023-05-07 14:01:23.000 UTC,0x9c12f4c90b6d7b869bb195a809265ff39ad480ed90ac97115abe3c264a48a2cb,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x80664c7312615ed5d7c022299788f2ec6cf5a4d0,0x178e32324c7998fcdcd674f1553e0471ee260f67,13.11,0.1,9000,6849
2023-05-07 14:01:59.000 UTC,0x0afffb62d2eff170182758bf6f6f6b0851fa30dd1c27afdc4e76138073ffc29a,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x77e3e957082ca648c1c5b0f3e6aec00ab1245186,0x63e0605491bda6e4c1c37cf818a45b836faf46ee,13.39,0.89,9000,4334
