contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,collection,lienId
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x613223da70de7ec2ee1808defb3919a2f3d28ce3e28dbcdc0388b5ce2d655cdd,268,2023-05-05 01:07:59.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,669
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x613223da70de7ec2ee1808defb3919a2f3d28ce3e28dbcdc0388b5ce2d655cdd,265,2023-05-05 01:07:59.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,666
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x16c9b5f750c70e0d4f5c7a9ff5efafffec563165dd8281de55d36c0f034c0ef0,410,2023-05-05 02:32:11.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,835
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xfbc942835a7a897e862466393b855e183c8e546232a87a0fa8670ce7d425904b,190,2023-05-05 08:20:11.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,894
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xc68f63ae5cc10b76443bf6e8072342add8a04b09b2a21f6c96d919adc22f429f,185,2023-05-05 08:45:23.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,927
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x75d2be54ea71d587442113dd0436786c79bd4f992d83b4a5e30e7040943f1b27,666,2023-05-05 12:46:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,989
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x90afc23db8d449382c310f339a1d857fd8d49f3d6d6a83341c9489f0e63cfa5c,339,2023-05-05 16:27:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1063
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x90afc23db8d449382c310f339a1d857fd8d49f3d6d6a83341c9489f0e63cfa5c,336,2023-05-05 16:27:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1062
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xab69e7cf418b9f881c00050c44f15fedfe76132894306abd0fab3883afb2381d,356,2023-05-05 23:43:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1076
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x89660c214d5b6834a548aba6032dfce7cea7b35a1cb9bf18be055996b3ae6886,334,2023-05-06 02:15:59.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1014
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb9fcfc1bafad80d8df764fd1f1747f4ed1c2908fa110cfc1263a54c251a6ff80,348,2023-05-06 02:38:11.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,755
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x1fc3dfacc0b6c3977e05960c25a40252a8d611719d96b8e7fbe27c92e39608da,284,2023-05-06 05:08:47.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1005
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x1fc3dfacc0b6c3977e05960c25a40252a8d611719d96b8e7fbe27c92e39608da,281,2023-05-06 05:08:47.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,988
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x3e0fa21c7178b3119a0f608434252c60dfbcfe93f02e097ee9db515692208c0c,368,2023-05-06 12:20:59.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1274
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xccb8490504aead0bb747294669876b4af2dc4602c4c3b7d41a330fcd43796203,178,2023-05-06 14:26:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1012
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xccb8490504aead0bb747294669876b4af2dc4602c4c3b7d41a330fcd43796203,175,2023-05-06 14:26:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1011
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xccb8490504aead0bb747294669876b4af2dc4602c4c3b7d41a330fcd43796203,172,2023-05-06 14:26:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1010
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x1948e90a83ea9ce691b768b8924f3b929452749741134f50196e2980726a7b43,207,2023-05-06 23:20:59.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1309
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x6b513420deebdcdb15b6a66580ff28bcc65fce2de207a148f38564a07d23c0d4,344,2023-05-07 01:05:59.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,815
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x01b83b1ae2b936fb76c7ac51b667490adae4a3aebf9f60864d516bf1318e4f71,416,2023-05-07 03:13:47.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,896
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xaab85112d77545f675a712a52d46df763a07b53f95559a040f2a86c097d2fd3d,782,2023-05-07 04:35:11.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,912
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xbaa44755d66858a9850c7ff726e4b3a2cb01924f1af55dfdf5847a5e394734c4,301,2023-05-07 11:49:59.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,1045
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x7c4d7a3551f101d5b3ffc4606fca530f6c112b24ec9ca0ea38c4d033ae59b662,151,2023-05-07 13:25:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,482
